#Node[2]'s Routing Table at time:   1.00
Routing Table is empty!
Src_Node[2]:1.0.2.2 -> Dst_Node[10]:1.0.2.10, Next_Hop[10]:1.0.2.10
Total routing rules: 4
#Node[2]'s Routing Table at time:  31.00
Src_Node[2]:1.0.2.2 -> Dst_Node[1]:1.0.2.1, Next_Hop[7]:1.0.2.7
Src_Node[2]:1.0.2.2 -> Dst_Node[5]:1.0.2.5, Next_Hop[10]:1.0.2.10
Src_Node[2]:1.0.2.2 -> Dst_Node[7]:1.0.2.7, Next_Hop[7]:1.0.2.7
Src_Node[2]:1.0.2.2 -> Dst_Node[10]:1.0.2.10, Next_Hop[10]:1.0.2.10
Total routing rules: 4
#Node[2]'s Routing Table at time:  36.00
Src_Node[2]:1.0.2.2 -> Dst_Node[1]:1.0.2.1, Next_Hop[7]:1.0.2.7
Src_Node[2]:1.0.2.2 -> Dst_Node[5]:1.0.2.5, Next_Hop[10]:1.0.2.10
Src_Node[2]:1.0.2.2 -> Dst_Node[7]:1.0.2.7, Next_Hop[7]:1.0.2.7
Src_Node[2]:1.0.2.2 -> Dst_Node[10]:1.0.2.10, Next_Hop[10]:1.0.2.10
Total routing rules: 4
#Node[2]'s Routing Table at time:  41.00
Src_Node[2]:1.0.2.2 -> Dst_Node[1]:1.0.2.1, Next_Hop[7]:1.0.2.7
Src_Node[2]:1.0.2.2 -> Dst_Node[5]:1.0.2.5, Next_Hop[10]:1.0.2.10
Src_Node[2]:1.0.2.2 -> Dst_Node[7]:1.0.2.7, Next_Hop[7]:1.0.2.7
Src_Node[2]:1.0.2.2 -> Dst_Node[10]:1.0.2.10, Next_Hop[10]:1.0.2.10
Total routing rules: 4
#Node[2]'s Routing Table at time:  46.00
Src_Node[2]:1.0.2.2 -> Dst_Node[1]:1.0.2.1, Next_Hop[7]:1.0.2.7
Src_Node[2]:1.0.2.2 -> Dst_Node[5]:1.0.2.5, Next_Hop[10]:1.0.2.10
Src_Node[2]:1.0.2.2 -> Dst_Node[7]:1.0.2.7, Next_Hop[7]:1.0.2.7
Src_Node[2]:1.0.2.2 -> Dst_Node[10]:1.0.2.10, Next_Hop[10]:1.0.2.10
Total routing rules: 4
#Node[2]'s Routing Table at time:  51.00
Src_Node[2]:1.0.2.2 -> Dst_Node[1]:1.0.2.1, Next_Hop[7]:1.0.2.7
Src_Node[2]:1.0.2.2 -> Dst_Node[5]:1.0.2.5, Next_Hop[10]:1.0.2.10
Src_Node[2]:1.0.2.2 -> Dst_Node[7]:1.0.2.7, Next_Hop[7]:1.0.2.7
Src_Node[2]:1.0.2.2 -> Dst_Node[10]:1.0.2.10, Next_Hop[10]:1.0.2.10
Total routing rules: 4
#Node[2]'s Routing Table at time:  56.00
Src_Node[2]:1.0.2.2 -> Dst_Node[1]:1.0.2.1, Next_Hop[7]:1.0.2.7
Src_Node[2]:1.0.2.2 -> Dst_Node[5]:1.0.2.5, Next_Hop[10]:1.0.2.10
Src_Node[2]:1.0.2.2 -> Dst_Node[7]:1.0.2.7, Next_Hop[7]:1.0.2.7
Src_Node[2]:1.0.2.2 -> Dst_Node[10]:1.0.2.10, Next_Hop[10]:1.0.2.10
Total routing rules: 4
#Node[2]'s Routing Table at time:  61.00
Src_Node[2]:1.0.2.2 -> Dst_Node[1]:1.0.2.1, Next_Hop[7]:1.0.2.7
Src_Node[2]:1.0.2.2 -> Dst_Node[5]:1.0.2.5, Next_Hop[10]:1.0.2.10
Src_Node[2]:1.0.2.2 -> Dst_Node[7]:1.0.2.7, Next_Hop[7]:1.0.2.7
Src_Node[2]:1.0.2.2 -> Dst_Node[10]:1.0.2.10, Next_Hop[10]:1.0.2.10
Total routing rules: 4
#Node[2]'s Routing Table at time:  66.00
Src_Node[2]:1.0.2.2 -> Dst_Node[1]:1.0.2.1, Next_Hop[7]:1.0.2.7
Src_Node[2]:1.0.2.2 -> Dst_Node[5]:1.0.2.5, Next_Hop[10]:1.0.2.10
Src_Node[2]:1.0.2.2 -> Dst_Node[7]:1.0.2.7, Next_Hop[7]:1.0.2.7
Src_Node[2]:1.0.2.2 -> Dst_Node[10]:1.0.2.10, Next_Hop[10]:1.0.2.10
Total routing rules: 4
#Node[2]'s Routing Table at time:  71.00
Src_Node[2]:1.0.2.2 -> Dst_Node[1]:1.0.2.1, Next_Hop[7]:1.0.2.7
Src_Node[2]:1.0.2.2 -> Dst_Node[5]:1.0.2.5, Next_Hop[10]:1.0.2.10
Src_Node[2]:1.0.2.2 -> Dst_Node[7]:1.0.2.7, Next_Hop[7]:1.0.2.7
Src_Node[2]:1.0.2.2 -> Dst_Node[10]:1.0.2.10, Next_Hop[10]:1.0.2.10
Total routing rules: 4
#Node[2]'s Routing Table at time:  76.00
Src_Node[2]:1.0.2.2 -> Dst_Node[1]:1.0.2.1, Next_Hop[7]:1.0.2.7
Src_Node[2]:1.0.2.2 -> Dst_Node[5]:1.0.2.5, Next_Hop[10]:1.0.2.10
Src_Node[2]:1.0.2.2 -> Dst_Node[7]:1.0.2.7, Next_Hop[7]:1.0.2.7
Src_Node[2]:1.0.2.2 -> Dst_Node[10]:1.0.2.10, Next_Hop[10]:1.0.2.10
Total routing rules: 4
#Node[2]'s Routing Table at time:  81.00
Src_Node[2]:1.0.2.2 -> Dst_Node[1]:1.0.2.1, Next_Hop[7]:1.0.2.7
Src_Node[2]:1.0.2.2 -> Dst_Node[5]:1.0.2.5, Next_Hop[10]:1.0.2.10
Src_Node[2]:1.0.2.2 -> Dst_Node[7]:1.0.2.7, Next_Hop[7]:1.0.2.7
Src_Node[2]:1.0.2.2 -> Dst_Node[10]:1.0.2.10, Next_Hop[10]:1.0.2.10
Total routing rules: 4
#Node[2]'s Routing Table at time:  86.00
Src_Node[2]:1.0.2.2 -> Dst_Node[1]:1.0.2.1, Next_Hop[7]:1.0.2.7
Src_Node[2]:1.0.2.2 -> Dst_Node[5]:1.0.2.5, Next_Hop[10]:1.0.2.10
Src_Node[2]:1.0.2.2 -> Dst_Node[7]:1.0.2.7, Next_Hop[7]:1.0.2.7
Src_Node[2]:1.0.2.2 -> Dst_Node[10]:1.0.2.10, Next_Hop[10]:1.0.2.10
Total routing rules: 4
#Node[2]'s Routing Table at time:  91.00
Src_Node[2]:1.0.2.2 -> Dst_Node[1]:1.0.2.1, Next_Hop[7]:1.0.2.7
Src_Node[2]:1.0.2.2 -> Dst_Node[5]:1.0.2.5, Next_Hop[10]:1.0.2.10
Src_Node[2]:1.0.2.2 -> Dst_Node[7]:1.0.2.7, Next_Hop[7]:1.0.2.7
Src_Node[2]:1.0.2.2 -> Dst_Node[10]:1.0.2.10, Next_Hop[10]:1.0.2.10
Total routing rules: 4
#Node[2]'s Routing Table at time:  96.00
Src_Node[2]:1.0.2.2 -> Dst_Node[1]:1.0.2.1, Next_Hop[7]:1.0.2.7
Src_Node[2]:1.0.2.2 -> Dst_Node[5]:1.0.2.5, Next_Hop[10]:1.0.2.10
Src_Node[2]:1.0.2.2 -> Dst_Node[7]:1.0.2.7, Next_Hop[7]:1.0.2.7
Src_Node[2]:1.0.2.2 -> Dst_Node[10]:1.0.2.10, Next_Hop[10]:1.0.2.10
Total routing rules: 4
